@relation titanic

@attribute Class{1st,2nd,3rd}
@attribute Age {adult,child}
@attribute Gender {female,male}
@attribute Survive {yes,no}
@attribute Family real

@data
"3rd","adult","male","no",1
"3rd","adult","male","no",1
"3rd","adult","male","no",1
"3rd","adult","male","no",1
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",3
"3rd","adult","male","no",4
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",4
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",3
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","no",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"1st","adult","female","yes",2
"1st","adult","female","yes",2
"1st","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",2
"3rd","adult","female","yes",1
"2nd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",1
"3rd","adult","female","yes",4
"3rd","adult","female","yes",4
"3rd","adult","female","yes",4
"3rd","adult","female","yes",4
"3rd","adult","female","yes",4
"3rd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",4
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",1
"2nd","adult","female","yes",2
"2nd","adult","female","yes",2
"2nd","adult","female","yes",2
"2nd","adult","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",1
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",2
"2nd","child","female","yes",3
"2nd","child","female","yes",3
"2nd","child","female","no",3
"2nd","child","female","no",3
"2nd","child","female","no",3
"2nd","child","female","no",3
"2nd","child","male","yes",3
"2nd","child","male","yes",3
"2nd","child","male","yes",3
"2nd","child","male","yes",3
"2nd","child","male","yes",3
"3rd","child","male","yes",3
"2nd","child","male","yes",3
"2nd","child","male","yes",3
"2nd","child","male","yes",3
"2nd","child","male","yes",4
"2nd","child","male","yes",4
"2nd","child","male","yes",4
"2nd","child","male","yes",4
"2nd","child","male","yes",4
"2nd","adult","male","yes",2
"2nd","adult","male","yes",1
"2nd","adult","male","no",1
"2nd","adult","male","no",1
"2nd","adult","male","no",1
"2nd","child","male","no",3
"2nd","child","male","no",2
"2nd","child","male","no",2
"2nd","child","male","no",2
"2nd","child","male","no",2
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","adult","male","no",3
"2nd","adult","male","no",3
"2nd","adult","male","no",3
"2nd","adult","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",3
"2nd","child","male","no",1
"2nd","child","male","no",1
"2nd","child","male","no",1
"2nd","child","male","no",1
"3rd","child","male","no",1
"3rd","child","male","no",1
"3rd","child","male","no",2
"3rd","child","male","no",1
"3rd","child","male","no",2
"3rd","child","male","no",1
"3rd","child","male","no",2
"2nd","child","male","no",1
"3rd","adult","male","no",2
"3rd","adult","male","no",3
"3rd","adult","male","no",2
"3rd","adult","male","no",3
"3rd","adult","male","no",2
"3rd","adult","male","no",3
"3rd","adult","male","no",2
"3rd","adult","male","no",4
"3rd","adult","male","no",3
"3rd","adult","male","no",2
"3rd","adult","male","no",1
"3rd","adult","male","no",2
"3rd","adult","male","no",2
"3rd","adult","male","no",3
